,Date of Birth,Information Source,Latitude,Longitude,Name,Place of Birth,Segment,Time Zone,Time of Birth
40,"Wednesday, September 08, 1926",Unknown,33 N 57,118 W 14,Lawrence Walsh,"118 W 14, 33 N 57",businessman,-8.0,20:14:59
41,"Friday, August 29, 1958",Kundli Sangraha (Tendulkar),41 N 36,87 W 21,Michael Jackson,Gary,businessman,-5.0,05:30:00
42,"Saturday, March 24, 1956",Unknown,42 N 21,83 W 5,Steve Ballmer,"Detroit, Michigan",businessman,-4.0,12:00:00
43,"Friday, August 02, 1974",Unknown,18 N 58,72 E 50,Siddharth Roy Kapur,Mumbai,businessman,5.5,12:00:00
44,"Tuesday, July 24, 1945",Unknown,18 N 58,72 E 50,Azim Premji,Bombay,businessman,5.5,12:00:00
45,"Monday, March 24, 1947",Unknown,51 N 30,0 W 5,Alan Sugar,London,businessman,0.0,12:00:00
46,"Tuesday, July 18, 1950",Unknown,51 N 11,0 E 31,Richard Branson,"0 E 31, 51 N 11",businessman,0.0,07:00:00
47,"Wednesday, July 09, 1924",Unknown,36 N 39,116 E 56,Rosa Li,"116 E 56, 36 N 39",businessman,7.75,19:10:00
48,"Monday, July 08, 1839",The Times Select Horoscopes,40 N 42,74 W 0,John D. Rockefeller,New york,businessman,-5.0,21:00:00
49,"Monday, July 08, 1839",Astrology of Professions (Pathak),40 N 42,74 W 0,John Rockefeller,New york,businessman,-5.0,21:00:00
50,"Tuesday, July 06, 1926",Internet,32 N 46,96 W 48,Nicky Hilton,"96 W 48, 32 N 46",businessman,-6.0,08:00:00
51,"Sunday, June 20, 1869",Astrology of Professions (Pathak),15 N 54,74 E 36,Laxmanrao Kirloskar,Gurlhosur,businessman,5.5,06:31:36
52,"Thursday, June 10, 1948",Unknown,26 N 9,87 E 31,Subrata Roy,Araria,businessman,5.5,12:00:00
53,"Wednesday, June 09, 1943",Unknown,33 N 20,44 E 30,Charles Saatchi,Baghdad,businessman,3.0,12:00:00
54,"Thursday, June 04, 1959",Unknown,12 N 54,75 E 0,Shashi Kiran Shetty,Bantwal,businessman,5.5,12:00:00
55,"Tuesday, March 26, 1935",Unknown,32 N 57,35 E 29,Mahmoud Abbas,Safed,businessman,3.0,12:00:00
56,"Saturday, May 30, 1970",Unknown,18 N 58,72 E 50,Ness Wadia,Mumbai,businessman,5.5,12:00:00
57,"Friday, May 27, 1836",Internet,42 N 17,74 W 32,Jay Gould,"74 W 32, 42 N 17",businessman,-5.0,05:34:59
58,"Thursday, May 27, 1926",Astrology of Professions (Pathak),26 N 55,75 E 47,Sitaram Jaipuria,Jaipur,businessman,5.5,00:30:00
59,"Wednesday, May 23, 1883",Astrology of Professions (Pathak),28 N 22,75 E 32,Jugal Kishore Birla,"75 E 32, 28 N 22",businessman,5.5,09:57:52
60,"Monday, May 20, 1946",Unknown,14 N 29,80 E 0,Ajit Shetty,Nellore,businessman,5.5,12:00:00
61,"Sunday, May 19, 1940",Unknown,40 N 46,73 W 59,Frank Lorenzo,"73 W 59, 40 N 46",businessman,-5.0,13:15:00
62,"Sunday, May 18, 1969",Unknown,28 N 50,78 E 45,Robert Vadra,Muradabad,businessman,5.5,12:00:00
63,"Monday, January 14, 1957",Unknown,21 N 10,79 E 12,Vikram Pandit,Nagpur,businessman,5.5,12:00:00
64,"Friday, May 17, 1963",Internet,32 N 46,115 W 32,Mary Bell Vincent,"115 W 32, 32 N 46",businessman,-8.0,08:31:00
65,"Saturday, January 01, 1949",Unknown,18 N 58,72 E 50,Ravi Ruia,Mumbai,businessman,5.5,12:00:00
66,"Saturday, March 01, 1930",Unknown,22 N 30,88 E 20,R. P. Goenka,Calcutta,businessman,5.5,12:00:00
67,"Monday, April 18, 1904",Astrology of Professions (Pathak),19 N 22,83 E 11,Ramnath Goenka,Kashipur,businessman,5.5,06:05:00
68,"Thursday, April 04, 1895",Internet,40 N 42,74 W 0,Arthur Murray,"74 W 0, 40 N 42",businessman,-5.0,08:43:59
69,"Monday, March 29, 1937",Internet,32 N 3,84 W 12,Billy Carter,"84 W 12, 32 N 3",businessman,-6.0,00:30:00
70,"Sunday, March 03, 1839",Astrology of Professions (Pathak),20 N 58,73 E 1,Jamsetji Tata,Navsari,businessman,5.5,15:45:56
71,"Saturday, March 01, 1930",Astrology of Professions (Pathak),22 N 30,88 E 20,Rama Prasad Goenka,Calcutta,businessman,5.5,08:16:41
72,"Monday, February 24, 1958",Internet,34 N 10,118 W 18,Todd E. Fisher,"118 W 18, 34 N 10",businessman,-8.0,11:43:59
73,"Wednesday, December 15, 1920",Internet,37 N 43,121 W 6,Roy Arnold Anderson,"121 W 6, 37 N 43",businessman,-8.0,00:20:00
74,"Tuesday, February 15, 1944",Lagna Phal (Garg),18 N 58,72 E 50,Nusli Wadia,Mumbai,businessman,5.5,13:30:00
75,"Saturday, November 19, 1938",Internet,39 N 9,84 W 26,Ted Turner,"84 W 26, 39 N 9",businessman,-5.0,08:50:00
76,"Thursday, December 13, 1956",Astrology of Professions (Pathak),28 N 39,77 E 13,Arun Bansal,Delhi,businessman,5.5,23:10:00
77,"Monday, December 21, 1903",The Times Select Horoscopes,17 N 4,74 E 41,Abasaheb Garware,Tasgaon,businessman,5.5,14:00:00
78,"Tuesday, January 29, 1924",Internet,41 N 28,81 W 48,Arthur Newman,"81 W 48, 41 N 28",businessman,-5.0,17:14:59
79,"Thursday, March 4, 1948",Dirty Data,10 N 22,76 E 14,Innocent Vincent,Irinjalakkuda,businessman,5.5,12:00:00
80,"Thursday, December 24, 1981",Dirty Data,20 N 26,85 E 56,Anubhav Mohanty,Cuttack,politician,5.5,12:00:00
81,"Wednesday, November 15, 1961",Dirty Data,16 N 42,72 E 48,Sanjay Raut,Alibagh,politician,5.5,12:00:00
82,"Sunday, October 5, 1952",Astrology of Professions (Pathak),31 N 32,74 E 22,Imran Khan,Lahore,politician,5.0,06:45:00
83,"Sunday, April 3, 1988",Dirty Data,29 N 10,75 E 45,Dushyant Chautala,Hissar,politician,5.5,00:00:00
84,"Sunday, August 10, 1975",Dirty Data,23 N 37,85 E 32,Hemant Soren,Ramgarh,politician,5.5,12:00:00
85,"Wednesday, July 27, 1960",Reference,18 N 58,72 E 50,Uddhav Thackeray,Mumbai,politician,5.5,10:14:00
86,"Saturday, November 16, 1985",Dirty Data,60 N 15,25 E 3,Sanna Marin,Helsinki,politician,2.0,00:00:00
87,"Thursday, October 9, 1952",Dirty Data,21 N 10,79 E 12,Nitin Raut,Nagpur,politician,5.5,00:00:00
88,"Tuesday, February 9, 1694",Dirty Data,18 N 58,72 E 50,Eknath Shinde,Maharashtra,politician,5.5,00:00:00
89,"Saturday, February 7, 1953",Dirty Data,19 N 58,74 E 20,Balasaheb Thorat,Sangamner Taluka,politician,5.5,00:00:00
90,"Friday, February 16, 1962",Dirty Data,16 N 55,74 E 37,Jayant Patil,Sangli,politician,5.5,00:00:00
91,"Wednesday, October 15, 1947",Dirty Data,20 N 0,73 E 52,Chhagan Bhujbal,Nasik,politician,5.5,00:00:00
92,"Wednesday, June 13, 1990",Dirty Data,18 N 58,72 E 50,Aaditya Thackeray,Mumbai,politician,5.5,00:00:00
93,"Sunday, December 28, 1952",Unknown,28 N 36,77 E 12,Arun Jaitley,New Delhi,politician,5.5,12:00:00
94,"Thursday, March 31, 1938",765 Notable Horoscopes,31 N 20,75 E 26,Sheila Dikshit,Kapurthala,politician,5.5,13:20:00
95,"Thursday, February 14, 1952",Lagna Phal (Garg),30 N 19,76 E 49,Sushma Swaraj,Ambala,politician,5.5,04:15:00
96,"Sunday, August 4, 1985",Dirty Data,34 N 0,77 E 15,Jamyang Tsering Namgyal,Laddakh,politician,5.5,00:00:00
97,"Sunday, April 12, 1981",Dirty Data,14 S 27,170 W 13,Tulsi Gabbard,American Samoa,politician,-5.0,00:00:00
98,"Friday, June 19, 1964",Dirty Data,40 N 42,74 W 0,Boris Johnson,New york,politician,-5.0,12:00:00
99,"Wednesday, March 29, 1972",Dirty Data,51 N 30,0 W 5,Priti Patel,London,politician,0.0,00:00:00
100,"Monday, January 8, 1990",Dirty Data,22 N 30,88 E 20,Nusrat Jahan,Calcutta,politician,5.5,00:00:00
101,"Friday, November 16, 1990",Dirty Data,13 N 19,75 E 47,Tejasvi Surya,Chikmagalur,politician,5.5,00:00:00
102,"Thursday, October 22, 1964",Internet,18 N 58,72 E 50,Amit Shah,Mumbai,politician,5.5,05:25:00
103,"Thursday, August 06, 1987",Dirty Data,24 N 2,74 E 47,Imran Pratapgarhi,Pratapgarh,politician,5.5,00:00:00
104,"Monday, September 08, 1952",Dirty Data,25 N 12,86 E 6,Giriraj Singh,Brahiya,politician,5.5,00:00:00
105,"Tuesday, January 13, 1987",Dirty Data,25 N 25,86 E 8,Kanhaiya Kumar,Begusarai,politician,5.5,00:00:00
106,"Wednesday, February 05, 1969",Dirty Data,9 N 30,76 E 22,Thushar Vellappally,Alappuzha,politician,5.5,00:00:00
107,"Tuesday, December 30, 1969",Dirty Data,22 N 42,75 E 54,Shankar Lalwani,Indore,politician,5.5,00:00:00
108,"Tuesday, October 03, 1967",Dirty Data,26 N 14,81 E 14,Dinesh Pratap Singh,Rae Bareli,politician,5.5,00:00:00
109,"Monday, June 08, 1981",Dirty Data,28 N 39,77 E 13,Atishi Marlena,Delhi,politician,5.5,00:00:00
110,"Tuesday, December 09, 1980",Dirty Data,18 N 58,72 E 50,Poonam Mahajan,Mumbai,politician,5.5,00:00:00
111,"Monday, February 02, 1970",Reference,26 N 33,78 E 47,Pragya Singh Thakur,Bhind,politician,5.5,00:00:00
112,"Monday, April 12, 1943",Dirty Data,17 N 32,73 E 32,Sumitra Mahajan,Chiplun,politician,5.5,00:00:00
113,"Wednesday, January 12, 1972",Kundli Sangraha (Bhat),28 N 39,77 E 13,Priyanka Vadra,Delhi,politician,5.5,17:05:00
114,"Wednesday, January 12, 1972",765 Notable Horoscopes,28 N 39,77 E 13,Priyanka Gandhi,Delhi,politician,5.5,17:05:00
115,"Thursday, June 18, 1970",Kundli Sangraha (Bhat),28 N 39,77 E 13,Rahul Gandhi,Delhi,politician,5.5,21:52:00
116,"Sunday, September 17, 1950",Lagna Phal (Garg),23 N 37,72 E 28,Narendra Modi,Mehsana,politician,5.5,11:00:00
117,"Saturday, September 02, 1972",Dirty Data,30 N 19,78 E 3,Anil Baluni,Dehradun,politician,5.5,00:00:00
118,"Saturday, May 21, 1960",Dirty Data,26 N 31,83 E 48,Akhilesh Pratap Singh,Deoria,politician,5.5,00:00:00
119,"Monday, July 06, 1964",Dirty Data,17 N 22,78 E 26,Gvl Narasimha Rao,Hyderabad,politician,5.5,00:00:00
120,"Tuesday, June 28, 1983",Dirty Data,31 N 19,75 E 34,Jaiveer Shergill,Jalandhar *,politician,5.5,00:00:00
121,"Saturday, February 06, 1965",Dirty Data,23 N 10,77 E 41,Sanjay Nirupam,Rohtas,politician,5.5,00:00:00
122,"Monday, November 19, 1979",Dirty Data,18 N 58,72 E 50,Priyanka Chaturvedi,Mumbai,politician,5.5,00:00:00
123,"Tuesday, June 10, 1975",Dirty Data,26 N 50,80 E 54,Sudhanshu Trivedi,Lucknow,politician,5.5,00:00:00
124,"Tuesday, January 24, 1989",Dirty Data,25 N 32,76 E 22,Anurag Bhadouria,Etawah,politician,5.5,00:00:00
125,"Wednesday, December 12, 1979",Dirty Data,28 N 36,77 E 12,Saurabh Bhardwaj,New Delhi,politician,5.5,00:00:00
126,"Friday, February 16, 1979",Dirty Data,28 N 39,77 E 13,Gaurav Bhatia,Delhi,politician,5.5,00:00:00
127,"Sunday, January 20, 1963",Dirty Data,25 N 14,86 E 59,Sanjay Jha,Bhagalpur,politician,5.5,00:00:00
128,"Saturday, June 03, 1967",Dirty Data,30 N 43,76 E 47,Randeep Surjewala,Chandigarh,politician,5.5,00:00:00
129,"Saturday, June 20, 1970",Dirty Data,28 N 39,77 E 13,Rajiv Tyagi,Delhi,politician,5.5,00:00:00
130,"Sunday, August 22, 1971",Dirty Data,28 N 39,77 E 13,Nalin Kohli,Delhi,politician,5.5,00:00:00
131,"Tuesday, February 24, 1959",Dirty Data,26 N 18,73 E 8,Abhishek Singhvi,Jodhpur,politician,5.5,00:00:00
132,"Thursday, December 12, 1968",Dirty Data,25 N 52,85 E 47,Shahnawaz Hussain,Samastipur,politician,5.5,00:00:00
133,"Friday, December 13, 1974",Dirty Data,20 N 26,85 E 56,Sambit Patra,Cuttack,politician,5.5,00:00:00
134,"Wednesday, January 28, 1976",Dirty Data,13 N 5,80 E 18,Malavika Avinash,Chennai,politician,5.5,00:00:00
135,"Friday, November 30, 1923",Dirty Data,9 N 46,76 E 24,V. N. Janaki,Vaikam,politician,5.5,00:00:00
136,"Friday, July 08, 1949",Dirty Data,14 N 29,78 E 13,Y. S. Rajasekhara Reddy,Pulivendla,politician,5.5,00:00:00
137,"Tuesday, May 08, 1956",Dirty Data,19 N 0,73 E 56,Shivajirao Adhalrao Patil,Manchar,politician,5.5,00:00:00
138,"Sunday, May 13, 1956",Dirty Data,22 N 42,75 E 54,Kailash Vijayvargiya,Indore,politician,5.5,00:00:00
139,"Friday, September 15, 1939",Unknown,13 N 5,80 E 18,Dr. Subramaniam Swamy,Chennai,politician,5.5,04:30:00
140,"Tuesday, May 13, 1969",Dirty Data,17 N 22,78 E 26,Asaduddin Owaisi,Hyderabad,politician,5.5,00:00:00
141,"Sunday, October 31, 1875",Kundli Sangraha (Bhat),22 N 42,72 E 52,Vallabhbhai Patel,Nadiad,politician,5.5,19:23:32
142,"Wednesday, March 22, 1972",Dirty Data,31 N 58,77 E 7,Sanjay Singh,Sultanpur,politician,5.5,00:00:00
143,"Friday, August 16, 1968",Internet,28 N 58,75 E 39,Arvind Kejriwal,Siwani,politician,5.5,00:30:00
144,"Sunday, January 08, 1984",Dirty Data,39 N 0,125 E 30,Kim Jong Un,Pyongyang,politician,8.0,00:00:00
145,"Monday, April 29, 1968",Internet,23 N 24,76 E 43,Bhayyuji Maharaj,Shujalpur,politician,5.5,20:28:00
146,"Thursday, October 15, 1931",765 Notable Horoscopes,9 N 17,79 E 17,A. P. J. Abdul Kalam,Rameswaram,politician,5.5,01:15:00
147,"Thursday, December 25, 1924",The Times Select Horoscopes,26 N 12,78 E 9,Atal Bihari Vajpayee,Gwalior (MP),politician,5.5,05:45:00
148,"Saturday, July 05, 1969",Dirty Data,23 N 53,91 E 48,Biplab Kumar Deb,Udaipur,politician,5.5,00:00:00
149,"Friday, September 08, 1950",765 Notable Horoscopes,22 N 40,74 E 57,Digvijay Singh,Madhya Pradesh,politician,5.5,13:50:00
150,"Friday, June 11, 1948",765 Notable Horoscopes,26 N 28,84 E 26,Lalu Prasad Yadav,Gopalganj,politician,5.5,03:07:00
151,"Wednesday, January 06, 1965",Internet,31 N 43,76 E 55,Jai Ram Thakur,Mandi,politician,5.5,00:00:00
152,"Thursday, August 02, 1956",Web,16 N 45,96 E 20,Vijay Rupani,Yangon,politician,6.0,00:00:00
153,"Saturday, December 11, 1982",Web,23 N 3,72 E 40,Jignesh Mevani,Ahmedabad,politician,5.5,00:00:00
154,"Thursday, September 05, 1946",Web,26 N 25,79 E 48,Ram Nath Kovind,"Derapur, Kanpur Dehat, UP",politician,5.5,19:40:00
155,"Wednesday, July 08, 1914",The Times Select Horoscopes,22 N 30,88 E 20,Jyoti Basu,Calcutta,politician,5.5,11:00:00
156,"Wednesday, July 29, 1959",Kundli Sangraha (Bhat),18 N 58,72 E 50,Sanjay Dutt,Mumbai,politician,5.5,15:00:00
157,"Tuesday, December 29, 1942",Kundli Sangraha (Bhat),31 N 35,74 E 56,Rajesh Khanna,Amritsar,politician,5.5,17:45:00
158,"Thursday, March 17, 1977",Unknown,22 N 18,73 E 13,Surendra Singh Baghel,Baroda,politician,5.5,12:00:00
159,"Tuesday, June 21, 1960",Unknown,26 N 46,79 E 2,S. P. Singh Baghel,Etawah,politician,5.5,12:00:00
160,"Sunday, November 20, 1960",Unknown,20 N 25,85 E 15,Raja Ram Pal,Kanpur,politician,5.5,12:00:00
161,"Saturday, August 09, 1980",Unknown,25 N 32,76 E 22,Sarika Singh Baghel,Etawah,politician,5.5,12:00:00
162,"Sunday, July 01, 1973",Unknown,25 N 32,76 E 22,Akhilesh Yadav,Saifai,politician,5.5,12:00:00
163,"Monday, September 26, 1932",The Times Select Horoscopes,31 N 50,72 E 10,Manmohan Singh,Jhelum,politician,5.0,14:00:00
164,"Monday, December 09, 1946",Lagna Phal (Garg),45 N 4,7 E 40,Sonia Gandhi,Turin,politician,1.0,21:30:00
165,"Friday, June 19, 1970",765 Notable Horoscopes,28 N 39,77 E 13,Rahul Gandhi-1,Delhi,politician,5.5,05:50:00
166,"Tuesday, June 15, 1937",Kundli Sangraha (Bhat),19 N 5,74 E 53,Anna Hazare,Bhingar,politician,5.5,00:08:36
167,"Wednesday, January 05, 1955",Unknown,22 N 30,88 E 20,Mamata Banerjee,Calcutta,politician,5.5,12:00:00
168,"Sunday, April 27, 1947",Unknown,29 N 36,79 E 40,Harish Rawat,Mohanari,politician,5.5,12:00:00
169,"Wednesday, February 17, 1954",Unknown,18 N 7,78 E 1,Kalvakuntla Chandrashekar Rao,Siddipet,politician,5.5,12:00:00
170,"Tuesday, February 24, 1948",Lagna Phal (Garg),12 N 18,76 E 37,Jayalalithaa Jayaram,Mysore,politician,5.5,14:40:00
171,"Friday, September 22, 1950",Unknown,27 N 17,88 E 24,Pawan Kumar Chamling,Yangang,politician,5.5,12:00:00
172,"Sunday, March 08, 1953",Unknown,18 N 58,72 E 50,Vasundhara Raje,Mumbai,politician,5.5,12:00:00
173,"Thursday, December 08, 1927",Unknown,25 N 34,90 E 7,Parkash Singh Badal,Abul Kurana,politician,5.5,12:00:00
174,"Friday, August 04, 1950",Unknown,11 N 56,79 E 53,N. Rangaswamy,Pondicherry,politician,5.5,12:00:00
175,"Wednesday, October 16, 1946",765 Notable Horoscopes,20 N 26,85 E 56,Naveen Patnaik,Cuttack,politician,5.5,17:30:00
176,"Thursday, February 21, 1952",Unknown,25 N 40,94 E 8,T. R. Zeliang,"Peren, Kohima",politician,5.5,12:00:00
177,"Tuesday, May 19, 1942",Unknown,23 N 45,92 E 45,Lal Thanhawla,Durtlang,politician,5.5,12:00:00
178,"Saturday, June 19, 1948",Unknown,24 N 45,93 E 51,Okram Ibobi Singh,Athokpam Makha Leikai,politician,5.5,12:00:00
179,"Tuesday, May 03, 1955",Unknown,22 N 47,86 E 12,Raghubar Das,Jamshedpur,politician,5.5,12:00:00
180,"Sunday, January 12, 1936",Unknown,33 N 48,75 E 6,Mufti Mohammad Sayeed,Bijbiara,politician,5.5,12:00:00
181,"Wednesday, May 05, 1954",Unknown,29 N 0,76 E 20,Manohar Lal Khattar,"Maham, Rohtak",politician,5.5,12:00:00
182,"Friday, November 21, 1941",Unknown,23 N 37,72 E 28,Anandiben Patel,"Kharod, Mehsana",politician,5.5,12:00:00
183,"Thursday, March 01, 1951",Suggested/Informed-A,25 N 27,85 E 31,Nitish Kumar,Bhaktiarpur,politician,5.5,13:20:00
184,"Wednesday, April 01, 1936",Unknown,26 N 45,94 E 12,Tarun Gogoi,Rangajan Jorhat,politician,5.5,12:00:00
185,"Tuesday, July 07, 1964",Unknown,11 N 18,12 W 49,Nabam Tuki,Ompuli Sagalee,politician,0.0,12:00:00
186,"Friday, April 27, 1951",Kundli Sangraha (Bhat),17 N 22,78 E 26,N. Chandrababu Naidu,Hyderabad,politician,5.5,06:30:00
187,"Sunday, February 17, 1957",Unknown,22 N 30,88 E 20,Praful Patel,Calcutta,politician,5.5,12:00:00
188,"Wednesday, August 15, 1945",Unknown,25 N 33,88 E 43,Khaleda Zia,Dinajpur,politician,6.0,12:00:00
189,"Saturday, July 11, 1953",Unknown,18 N 58,72 E 50,Suresh Prabhakar Prabhu,Mumbai,politician,5.5,12:00:00
190,"Wednesday, July 04, 1956",Unknown,15 N 31,73 E 56,Laxmikant Parsekar,Goa,politician,5.5,12:00:00
191,"Wednesday, July 22, 1970",Unknown,21 N 10,79 E 12,Devendra Fadnavis,Nagpur,politician,5.5,12:00:00
192,"Saturday, October 20, 1923",Unknown,9 N 28,76 E 20,V S Achuthanandan,Alappuzha,politician,5.5,12:00:00
193,"Tuesday, October 14, 1890",Lagna Phal (Garg),33 N 45,96 W 34,Eisenhower,Denison America,politician,-6.0,17:15:00
194,"Friday, October 14, 1938",Internet,41 N 4,81 W 31,John Dean,"81 W 31, 41 N 4",politician,-5.0,14:55:00
195,"Monday, October 06, 1958",Unknown,14 N 29,80 E 0,Lakshmi Panabaka,Nellore,politician,5.5,12:00:00
196,"Monday, September 30, 1935",765 Notable Horoscopes,30 N 9,74 E 11,Om Prakash Chautala,Abohar,politician,5.5,04:48:00
197,"Monday, September 25, 1944",Unknown,20 N 25,85 E 15,Sriprakash Jaiswal,Kanpur,politician,5.5,12:00:00
198,"Friday, November 12, 1948",Unknown,35 N 27,53 E 12,Hassan Rouhani,"Sorkheh, Iran",politician,4.5,12:00:00
199,"Monday, September 24, 1962",Unknown,30 N 43,76 E 47,Selja Kumari,Chandigarh,politician,5.5,12:00:00
200,"Tuesday, April 27, 1954",Unknown,17 S 51,178 E 27,Frank Bainimarama,"Tailevu Province, Fiji",politician,12.0,12:00:00
201,"Thursday, September 23, 1943",Unknown,27 N 51,75 E 14,Mahadeo Singh Khandela,Sikar,politician,5.5,12:00:00
202,"Saturday, January 01, 1949",Unknown,33 N 58,69 E 18,Ashraf Ghani,"Logar Province, Afghanistan",politician,4.5,12:00:00
203,"Thursday, June 10, 1971","http://www.astro.com/astro-databank/Jindal,_Bobby",30 N 27,91 W 9,Bobby Jindal,"Baton (Rouge) LA, USA",politician,5.0,12:27:00
204,"Monday, June 15, 1953",Unknown,39 N 55,116 E 20,Xi Jinping,Beijing,politician,8.0,12:00:00
205,"Tuesday, September 13, 1960",Unknown,17 N 22,78 E 26,Nallari Kiran Kumar Reddy,Hyderabad,politician,5.5,12:00:00
206,"Tuesday, September 13, 1938",Internet,56 N 25,4 W 58,John Smith,"4 W 58, 56 N 25",politician,0.0,13:25:00
207,"Wednesday, September 12, 1934",Unknown,32 N 4,76 E 16,Shanta Kumar,Kangra,politician,5.5,12:00:00
